University of Illinois System - Investment Office,,,,,
Security Inventory,,,,,
By Fund Group,,,,,
"June 30, 2022",,,,,
,,,,,
,,Maturity,,,
PVTPL DLLAA 2021-1 LLC NT CL A,0.00,04/17/26,"825,000.00","824,880.87","786,158.26"
PVTPL DLLAD 2021-1 LLC SR 21-1,0.64,09/21/26,"110,000.00","104,328.13","102,392.88"
PVTPL DLLMT 2021-1 LLC DLLMT 2,1.00,07/21/25,"450,000.00","449,980.29","431,831.93"
PVTPL ENTERPRISE FLEET FING 20,0.53,05/20/27,"608,507.37","608,464.89","583,897.87"
PVTPL ENTERPRISE FLEET FING 20,0.77,08/20/27,"635,000.00","634,883.41","609,128.83"
PVTPL ENTERPRISE FLEET FING 20,4.65,05/21/29,"605,000.00","604,935.51","606,084.77"
PVTPL ENTERPRISE FLEET FING LL,2.06,05/20/25,"76,602.99","76,590.83","76,380.06"
PVTPL ENTERPRISE FLEET FING SE,0.61,07/20/26,"351,787.94","351,725.08","343,629.49"
PVTPL FORD CR AUTO OWNER TR 20,3.19,07/15/31,"890,000.00","908,594.53","875,465.14"
PVTPL HYUNDAI AUTO LEASE SECUR,0.33,06/17/24,"895,000.00","894,865.75","871,736.35"
PVTPL KUBOTA CR OWNER TR 2021-,0.62,08/15/25,"465,000.00","464,904.86","443,224.88"
PVTPL MMAF EQUIP FIN LLC 2019-,2.01,12/12/24,"505,649.35","505,518.75","500,188.99"
PVTPL MMAF EQUIP FIN LLC 2021-,0.56,06/13/28,"515,000.00","514,894.01","483,442.24"
PVTPL SANTANDER RETAIL AUTO LE,1.34,07/21/25,"485,000.00","484,962.61","460,804.17"
PVTPL TOYOTA AUTO LN EXTD NT T,2.56,11/25/31,"1,100,000.00","1,114,653.91","1,076,098.76"
PVTPL TOYOTA AUTO LN EXTD NT T,1.07,02/27/34,"235,000.00","234,981.69","212,752.74"
PVTPL TOYOTA AUTO LOAN EXTENDE,3.82,04/25/35,"250,000.00","249,895.00","246,721.93"
SANTANDER RETAIL 2021-B TR ASS,0.51,08/20/24,"765,000.00","764,903.38","737,275.86"
SANTANDER RETAIL AUTO LEASE TR,1.74,07/20/23,"310,422.40","310,417.44","310,355.75"
SANTANDER RETAIL AUTO LEASE TR,0.50,03/20/25,"655,000.00","654,968.82","632,789.01"
SANTANDER RETAIL AUTO LEASE TR,2.84,05/20/25,"725,000.00","724,944.54","720,391.97"
SANTANDER RETAIL AUTO LEASE TR,0.57,04/22/24,"720,000.00","719,919.94","703,103.18"
SANTANDER RETAIL AUTO LEASE TR,0.51,07/22/24,"605,000.00","604,905.44","584,493.95"
TOYOTA AUTO LN EXTD NT TR 2020,1.35,05/25/33,"400,000.00","399,976.92","372,042.88"
TOYOTA AUTO REC 2020-A OWNER T,1.66,05/15/24,"367,265.00","367,238.50","365,653.65"
TOYOTA AUTO RECEIVABLES 2021-D,0.71,04/15/26,"275,000.00","274,994.14","261,919.79"
TOYOTA AUTO RECEIVABLES 2022-A,1.23,06/15/26,"545,000.00","544,907.35","523,134.49"
TOYOTA LEASE OWNER TR 2022-A 1,1.96,02/20/25,"365,000.00","364,942.55","355,573.73"
VERIZON COMMUNICATIONS INC SR ,0.50,05/20/27,"965,000.00","964,929.17","909,202.93"
VERIZON MASTER TR SER 2022-2 C,1.53,07/20/28,"995,000.00","994,766.08","940,369.82"
VERIZON MASTER TR SR 2021-2 CL,0.96,04/20/28,"995,000.00","994,856.52","935,327.86"
VERIZON OWNER TR 2019-C NT CL,1.94,04/22/24,"416,697.68","416,665.56","416,204.27"
VERIZON OWNER TR 2020-A NT CL,1.85,07/22/24,"662,102.67","662,025.14","660,060.02"
VERIZON OWNER TR 2020-C SRS 20,0.41,12/20/25,"725,000.00","724,882.33","708,875.57"
VERIZON OWNER TRUST FIXED 2.93,2.93,09/20/23,"1,869.44","1,869.07","1,870.72"
VOLKSWAGEN AUTO LEASE TR 2020-,0.39,01/22/24,"730,000.00","729,862.40","724,095.47"
VOLKSWAGEN AUTO LN ENHANCED TR,1.02,06/22/26,"830,000.00","829,967.46","795,358.37"
WORLD OMNI AUTO RECEIVABLES TR,1.10,04/15/25,"670,538.45","670,389.66","663,664.01"
WORLD OMNI AUTO RECEIVABLES TR,0.44,08/17/26,"485,000.00","484,980.60","464,811.10"
WORLD OMNI AUTO RECEIVABLES TR,0.81,10/15/26,"550,000.00","549,925.09","523,341.45"
WORLD OMNI AUTO RECEIVABLES TR,1.66,05/17/27,"515,000.00","514,882.63","493,439.88"
WORLD OMNI AUTO RECEIVABLES TR,0.48,11/17/25,"658,169.41","657,999.94","645,734.35"
WORLD OMNI AUTOMOBILE LEASE SE,1.70,01/17/23,"373,208.84","373,174.02","372,988.50"
WORLD OMNI AUTOMOBILE LEASE SE,0.45,02/15/24,"410,000.00","409,966.05","403,593.96"
WORLD OMNI AUTOMOBILE LEASE SE,0.42,08/15/24,"325,000.00","324,961.46","313,538.55"
WORLD OMNI AUTOMOBILE LEASE ,3.21,02/18/25,"430,000.00","429,940.45","427,689.31"
,,,,,
Commercial Mortgage Backed Securities,,,,,
BOCA COML MTG TR 2022-BOCA MTG,2.27,05/15/39,"150,000.00","149,782.11","146,965.49"
BPR TR 2022-OANA COML MTG PASS,3.18,04/15/37,"665,000.00","663,349.47","651,396.16"
BX COML MTG TR 2021-VOLT MTG P,2.02,09/15/36,"445,000.00","436,023.44","429,193.38"
BX TR 2022-IND COML MTG PASSTH,2.82,04/15/37,"750,000.00","747,867.75","729,770.93"
CITIGROUP COML MTG TR 2014-GC2,3.86,05/10/47,"310,000.00","312,518.75","307,945.38"
CMO CITIGROUP COML MTG TR 2015,3.14,02/10/48,"225,000.00","227,460.94","219,342.67"
CMO CITIGROUP COML MTG TR 2015,2.94,04/10/48,"272,439.28","274,088.81","264,245.48"
CMO CITIGROUP COML MTG TR 2016,3.21,05/10/49,"585,000.00","595,927.15","562,503.30"
CMO COMM 2013-CCRE7 MTG TR MTG,2.74,03/10/46,"68,646.30","71,574.49","68,460.73"
CMO COMM 2015-CCRE22 MTG TR MT,3.05,03/10/48,"625,000.00","633,618.16","607,003.81"
CMO MORGAN STANLEY BK AMER MER,3.89,06/15/47,"455,000.00","467,050.39","452,203.02"
CMO WELLS FARGO COML MTG TR 20,3.41,12/15/47,"525,000.00","535,582.03","512,723.72"
CMO WELLS FARGO COML MTG TR 20,2.68,10/15/49,"456,671.46","430,948.01","433,147.49"
CMO WELLS FARGO COML MTG TR 20,3.16,09/15/50,"330,000.00","317,109.38","315,670.44"
CMO WELLS FARGO COML MTG TR SE,3.84,09/15/58,"405,000.00","402,595.31","400,252.35"
CMO WFRBS COML MTG TR 2013-C12,2.84,03/15/48,"132,545.04","137,624.20","132,106.00"
CMO WFRBS COML MTG TR 2014-C22,3.75,09/15/57,"330,000.00","332,685.94","325,903.88"
COMM 2012-CCRE5 MTG TR MTG PAS,2.39,12/10/45,"19,536.95","19,307.98","19,516.54"
CSAIL 2015-C4 COML MTG TR COML,3.81,11/15/48,"590,000.00","603,969.92","581,325.35"
GS MTG SECS TR 2013-GC10 COML,2.94,02/10/46,"1,009,000.00","1,032,884.92","1,002,657.93"
J P MORGAN CHASE COML MTG SECS,2.18,03/15/39,"810,000.00","807,975.00","795,763.44"
JPMBB COML MTG SECS TR 2015-C3,3.82,07/15/48,"425,000.00","438,704.30","419,618.78"
LIFE 2022-BMR2 MTG TR 2.09524%,2.57,05/15/39,"480,000.00","477,599.95","467,994.19"
MORGAN STANLEY BK AMER MERRILL,3.54,01/15/49,"330,000.00","324,534.38","321,703.44"
MORGAN STANLEY BK AMER MERRILL,3.92,10/15/47,"850,000.00","876,263.67","840,349.19"
PVTPL CMO BX COML MTG TR 2019-,2.24,10/15/36,"237,959.19","237,066.83","233,769.11"
PVTPL CMO COMM MORTGAGE TRUST ,3.18,02/10/35,"825,000.00","833,314.45","787,668.67"
TAUBMAN CTRS COML MTG TR 2022-,3.46,05/15/37,"485,000.00","480,143.21","471,732.73"
WELLS FARGO COML MTG TR 2016-B,2.65,08/15/49,"440,000.00","436,295.31","414,217.72"
WELLS FARGO COML MTG TR 2016-C,3.56,01/15/59,"525,000.00","543,662.11","513,759.02"
WFRBS COML MTG TR 2013-C14 MTG,3.34,06/15/46,"1,000,000.00","1,037,656.25","984,582.20"
,,,,,
Corporate Bonds,,,,,
ABBVIE INC 2.3% DUE 11-21-2022,2.30,11/21/22,"550,000.00","569,576.13","548,905.63"
ABBVIE INC 3.6% 05-14-2025á,3.60,05/14/25,"60,000.00","61,723.80","59,024.28"
AIG GLOBAL FDG SR SECD MEDIUM ,0.90,09/22/25,"150,000.00","149,875.50","134,554.40"
ALBEMARLE CORP 4.65% 06-01-202,4.65,06/01/27,"150,000.00","149,862.00","147,615.93"
AMEREN ILL CO 3.25% DUE,3.25,03/01/25,"410,000.00","428,516.20","404,999.91"
AMERICAN EXPRESS CO 2.25% DUE,2.25,03/04/25,"430,000.00","429,565.70","413,085.94"
AMERICAN EXPRESS CO 3.375%,3.38,05/03/24,"70,000.00","69,993.00","69,496.21"
AMERICAN EXPRESS CO 3.4% DUE 0,3.40,02/22/24,"100,000.00","104,671.00","99,681.74"
AMERICAN EXPRESS CO FLTG 08-03,2.04,08/03/23,"90,000.00","90,000.00","89,894.29"
AMERICAN HONDA FIN CORP MED TE,0.75,08/09/24,"410,000.00","409,729.40","385,612.72"
AMERICAN HONDA FIN CORP MED TE,1.50,01/13/25,"160,000.00","159,873.60","151,830.15"
AMPHENOL CORP NEW 2.05% DUE,2.05,03/01/25,"195,000.00","194,666.55","186,280.65"
ANHEUSER-BUSCH COS LLC CORP 3.,3.65,02/01/26,"200,000.00","226,258.00","196,748.03"
ASTRAZENECA FIN LLC .7% DUE 05,0.70,05/28/24,"210,000.00","209,981.10","198,998.32"
AT&T INC 1.38088% DUE 06-12-20,2.90,06/12/24,"260,000.00","261,900.80","260,802.82"
AT&T INC 1.65% DUE 02-01-2028/,1.65,02/01/28,"370,000.00","369,533.80","320,091.35"
AT&T INC 2.3% DUE 06-01-2027,2.30,06/01/27,"80,000.00","79,881.60","73,027.53"
ATMOS ENERGY CORP .625% DUE,0.63,03/09/23,"275,000.00","274,443.50","270,118.15"
AVALONBAY COMMUNITIES IN 3.5%,3.50,11/15/24,"480,000.00","476,526.40","474,229.81"
BAE SYS HLDGS INC 3.85% DUE,3.85,12/15/25,"410,000.00","463,492.70","402,613.58"
BAKER HUGHES HLDGS LLC/BAKER H,1.23,12/15/23,"290,000.00","290,000.00","281,536.92"
BANK AMER CORP .981% DUE,0.98,09/25/25,"220,000.00","220,000.00","203,542.02"
BANK AMER CORP 2.015% DUE,2.02,02/13/26,"430,000.00","447,806.30","403,009.04"
BANK AMER CORP 4.376%,4.38,04/27/28,"100,000.00","100,000.00","98,447.07"
BANK MONTREAL MEDIUM TERM SR N,0.63,07/09/24,"440,000.00","439,322.40","413,872.00"
BANK MONTREAL MEDIUM TERM SR N,1.25,09/15/26,"130,000.00","129,780.30","115,161.18"
BANK MONTREAL MEDIUM TERM SR N,1.50,01/10/25,"110,000.00","109,941.70","103,809.25"
BANK MONTREAL QUE MEDIUM TERM ,3.70,06/07/25,"70,000.00","69,983.90","69,380.15"
BANK NEW YORK MELLON CORP MEDI,3.43,06/13/25,"130,000.00","130,000.00","128,953.87"
BANK NOVA SCOTIA B C .65% 07-3,0.65,07/31/24,"130,000.00","129,884.30","121,867.05"
BANK NOVA SCOTIA B C 1.3% DUE,1.30,09/15/26,"150,000.00","149,992.50","133,196.92"
BANK NOVA SCOTIA B C 1.45% 01-,1.45,01/10/25,"70,000.00","69,953.10","66,244.79"
BANK NOVA SCOTIA B C 2.951%á,2.95,03/11/27,"100,000.00","100,000.00","94,069.66"
BANK OF AMERICA CORP  3.004%,3.00,12/20/23,"577,000.00","557,555.68","575,108.52"
BANK OF AMERICA CORP 04/02/202,1.84,02/04/25,"300,000.00","300,000.00","289,188.09"
BANK OF AMERICA CORP MTN 0.81%,0.81,10/24/24,"700,000.00","700,000.00","667,135.38"
BANK OF AMERICA CORPORATION MT,1.53,12/06/25,"450,000.00","450,000.00","418,700.35"
BANK OF AMERICA CORPORATION MT,3.38,04/02/26,"150,000.00","150,000.00","145,395.66"
BANK OF MONTREAL 2.15%á,2.15,03/08/24,"90,000.00","89,937.00","88,013.44"
BANK OF NOVA SCOTIA .4% 09-15-,0.40,09/15/23,"80,000.00","79,931.20","77,240.98"
BANK OF NOVA SCOTIA 3.45% 04-1,3.45,04/11/25,"140,000.00","139,841.80","138,152.00"
BANK OF NOVA SCOTIA ,2.20,02/03/25,"240,000.00","254,493.60","229,659.02"
BAXTER INTL INC 1.322% 11-29-2,1.32,11/29/24,"560,000.00","524,876.99","525,710.87"
BB&T BRH BKG & TR CO GLOBAL BK,3.63,09/16/25,"500,000.00","497,305.00","489,513.75"
BB&T CORP SR MEDIUM TERM NTS B,2.20,03/16/23,"275,000.00","274,796.50","273,506.59"
BELL CANADA .75% DUE 03-17-202,0.75,03/17/24,"265,000.00","264,875.45","252,361.42"
BK MONTREAL 3.3% 02-05-2024,3.30,02/05/24,"100,000.00","108,261.00","99,787.50"
BLACK HILLS CORP 1.037% DUE 08,1.04,08/23/24,"360,000.00","351,052.20","336,583.93"
BLACK HILLS CORP 3.95% DUE,3.95,01/15/26,"445,000.00","491,564.20","441,577.95"
BMW US CAP LLC GTD NT 144A 3.4,3.45,04/01/27,"100,000.00","99,895.00","97,480.64"
BOEING CO 2.196% DUE 02-04-202,2.20,02/04/26,"80,000.00","77,772.00","72,109.25"
BOEING CO 4.875% DUE,4.88,05/01/25,"180,000.00","191,352.60","179,335.55"
BOSTON PPTYS LTD PARTNERSHIP 3,3.20,01/15/25,"330,000.00","354,024.00","321,860.45"
BP CAP MKTS AMER INC 2.75% DUE,2.75,05/10/23,"407,000.00","402,359.36","406,140.33"
BPCE S A MEDIUM TERM NTS BOOK ,1.63,01/14/25,"290,000.00","289,112.60","273,346.21"
BRISTOL MYERS SQUIBB CO .537%,0.54,11/13/23,"350,000.00","350,000.00","337,779.33"
BRISTOL MYERS SQUIBB CO 2.9% D,2.90,07/26/24,"39,000.00","42,274.56","38,627.63"
CANADIAN NAT RES LTD 3.8% DUE,3.80,04/15/24,"230,000.00","244,701.60","228,402.54"
CANADIAN PAC RY CO NEW 1.35% D,1.35,12/02/24,"340,000.00","339,551.20","319,839.15"
CAPITAL ONE FINL CORP 1.343%,1.77,12/06/24,"390,000.00","390,000.00","373,734.12"
CAPITAL ONE FINL CORP 2.636% 0,2.64,03/03/26,"160,000.00","160,000.00","151,067.26"
CAPITAL ONE FINL CORP 4.25% DU,4.25,04/30/25,"110,000.00","119,076.10","109,677.61"
CAPITAL ONE FINL CORP SR NT FI,4.93,05/10/28,"130,000.00","130,000.00","128,749.70"
CAPITAL ONE NATL ASSN MCLEAN V,2.19,08/08/22,"400,000.00","400,000.00","399,823.13"
CARRIER GLOBAL CORP 2.242%,2.24,02/15/25,"245,000.00","255,707.88","232,806.52"
CENTERPOINT ENERGY HOUSTON ELE,5.60,07/01/23,"420,000.00","452,386.20","427,855.87"
CENTERPOINT ENERGY RES CORP DE,0.70,03/02/23,"170,000.00","169,835.10","166,480.43"
CES MU2 LLC 1.994% DUE 05-13-2,1.99,05/13/27,"376,963.69","392,483.28","362,099.89"
CHARLES SCHWAB CORP 2.45% DUE,2.45,03/03/27,"110,000.00","109,881.20","102,587.38"
CHEVRON PHILLIPS 3.3% 05-01-20,3.30,05/01/23,"100,000.00","106,343.00","99,786.16"
CITIGROUP INC .776% DUE,0.78,10/30/24,"170,000.00","170,000.00","162,060.34"
CITIGROUP INC 1.281% 11-03-202,1.28,11/03/25,"125,000.00","125,000.00","116,059.87"
CITIGROUP INC 3.106% DUE 04-08,3.11,04/08/26,"80,000.00","81,264.30","76,796.43"
CITIGROUP INC 3.29% 03-17-2026,3.29,03/17/26,"180,000.00","180,000.00","174,022.07"
CITIGROUP INC NT 6NC5 FIXED /,3.07,02/24/28,"80,000.00","80,000.00","74,215.28"
CITIGROUP INC NT FIXED / FLTG ,0.98,05/01/25,"220,000.00","220,000.00","206,102.39"
CITIGROUP INC NT FXD/FLTG 2.01,2.01,01/25/26,"310,000.00","310,000.00","290,410.21"
CITIGROUP INC SR NT 3.352%,3.35,04/24/25,"400,000.00","426,884.00","391,779.76"
CITIZENS BK NA PROVIDENCE RI 4,4.12,05/23/25,"280,000.00","280,000.00","278,900.75"
CNH INDL CAP LLC 3.95% 05-23-2,3.95,05/23/25,"150,000.00","149,203.50","148,412.52"
COMCAST CORP NEW 3.375% DUE,3.38,08/15/25,"400,000.00","447,928.00","394,335.91"
COMMONSPIRIT HEALTH 2.76% DUE,2.76,10/01/24,"65,000.00","65,000.00","63,288.65"
CONNECTICUT LIGHT & POWER CO 1,0.75,12/01/25,"140,000.00","139,945.40","125,963.92"
CONOCOPHILLIPS CO 2.125% DUE,0.00,03/08/24,"80,000.00","79,975.20","78,424.45"
CONOCOPHILLIPS CO 2.4% DUE,0.00,03/07/25,"260,000.00","259,693.20","250,924.99"
CVS HEALTH CORP 2.625% DUE,2.63,08/15/24,"160,000.00","159,176.00","156,420.01"
DAIMLER TRUCKS FIN NORTH AMER ,1.13,12/14/23,"430,000.00","429,028.20","412,838.67"
DEERE JOHN CAP CORP MEDIUM TER,3.40,06/06/25,"160,000.00","159,963.20","159,286.45"
DOWDUPONT INC 1.266% DUE 11-15,2.52,11/15/23,"200,000.00","200,000.00","200,944.37"
DOWDUPONT INC 4.493% DUE,4.49,11/15/25,"150,000.00","153,978.00","151,021.20"
DTE ELEC CO 3.375% DUE,3.38,03/01/25,"430,000.00","458,668.10","426,228.96"
DUKE ENERGY 3.05% 03-15-2023,3.05,03/15/23,"95,000.00","96,398.40","94,913.43"
DUKE RLTY LTD PARTNERSHIP NEW ,3.25,06/30/26,"180,000.00","184,327.20","173,349.92"
EATON CORP OHIO 2.75% DUE 11-0,2.75,11/02/22,"760,000.00","761,124.80","759,479.92"
ECOLAB INC .9% 12-15-2023,0.90,12/15/23,"170,000.00","169,882.70","164,611.04"
EMORY UNIV 1.566% DUE,1.57,09/01/25,"115,000.00","115,000.00","106,978.30"
ENBRIDGE INC 2.15% 02-16-2024,2.15,02/16/24,"130,000.00","129,890.80","126,155.93"
ENBRIDGE INC 2.5% 02-14-2025,2.50,02/14/25,"100,000.00","100,030.40","95,991.53"
ENTERGY ARK INC 3.05% DUE,3.05,06/01/23,"100,000.00","100,462.00","99,702.49"
ENTERGY ARK INC 3.7% DUE,3.70,06/01/24,"110,000.00","119,244.40","110,374.28"
ENTERGY LOUISIANA LLC .62% DUE,0.62,11/17/23,"132,000.00","131,976.24","127,157.23"
ENTERGY LOUISIANA LLC .95% DUE,0.95,10/01/24,"100,000.00","96,986.00","93,906.47"
ENTERGY TEX INC 1.5% 09-01-202,1.50,09/01/26,"480,000.00","424,992.00","425,353.50"
ENTERPRISE PRODS OPER LLC 3.75,3.75,02/15/25,"210,000.00","228,062.10","207,485.86"
ERP OPER LTD PARTNERSHIP 3.375,3.38,06/01/25,"200,000.00","216,454.00","196,042.94"
EXXON MOBIL CORP 2.992% DUE,2.99,03/19/25,"24,000.00","26,322.24","23,629.80"
FEDERAL RLTY INVT TR 1.25% DUE,1.25,02/15/26,"220,000.00","218,545.80","196,825.24"
FEDERAL RLTY INVT TR 3.95% DUE,3.95,01/15/24,"40,000.00","41,940.80","39,915.28"
FIFTH THIRD BANCORP 1.625% DUE,1.63,05/05/23,"30,000.00","29,980.80","29,549.32"
FIFTH THIRD BANCORP 2.375% DUE,2.38,01/28/25,"150,000.00","154,992.00","143,649.58"
FIFTH THIRD BANCORP SR NT FIXE,4.06,04/25/28,"40,000.00","40,000.00","38,999.64"
FISERV INC 2.75% DUE,2.75,07/01/24,"370,000.00","369,378.40","360,910.07"
FMC CORP 3.2% DUE 10-01-2026/0,3.20,10/01/26,"60,000.00","61,251.00","57,138.80"
GENERAL DYNAMICS CORP 3.25% DU,3.25,04/01/25,"200,000.00","216,176.00","198,340.07"
GENERAL MLS INC 2.6% DUE,2.60,10/12/22,"270,000.00","271,610.30","270,103.27"
GENERAL MLS INC 4.0% DUE,4.00,04/17/25,"100,000.00","99,506.00","99,921.32"
GENERAL MTRS FINL CO INC 1.2%,1.20,10/15/24,"220,000.00","219,909.80","204,580.34"
GENERAL MTRS FINL CO INC 3.55%,3.55,07/08/22,"140,000.00","139,911.80","140,000.81"
GENERAL MTRS FINL CO INC 3.8%,4.30,04/07/25,"250,000.00","249,950.00","243,726.75"
GEORGIA-PAC LLC 1.75% DUE,1.75,09/30/25,"290,000.00","289,942.00","268,642.23"
GETTY PAUL J TR .391% DUE,0.39,01/01/24,"265,000.00","265,000.00","254,426.38"
GILEAD SCIENCES INC .75% DUE,0.75,09/29/23,"180,000.00","179,937.00","174,177.14"
GLAXOSMITHKLINE CAP PLC .534%,0.53,10/01/23,"260,000.00","260,000.00","251,185.57"
GOLDMAN SACHS GROUP INC .627%,0.63,11/17/23,"450,000.00","450,373.50","444,375.00"
GOLDMAN SACHS GROUP INC .657%,0.66,09/10/24,"430,000.00","429,727.00","411,405.13"
GOLDMAN SACHS GROUP INC .925%,1.11,10/21/24,"360,000.00","360,000.00","344,252.17"
GOLDMAN SACHS GROUP INC 1.217%,1.22,12/06/23,"290,000.00","290,000.00","279,387.33"
GOLDMAN SACHS GROUP INC 2.64%,2.64,02/24/28,"140,000.00","140,000.00","127,060.76"
GOLDMAN SACHS GROUP INC 3.5% D,3.50,01/23/25,"200,000.00","219,700.00","197,031.47"
GOLDMAN SACHS GROUP INC 3.625%,3.63,02/20/24,"170,000.00","169,792.60","169,450.16"
GUARDIAN LIFE GLOBAL FDG SR SE,3.25,03/29/27,"120,000.00","120,000.00","116,100.26"
HALLIBURTON CO 3.8% DUE,3.80,11/15/25,"24,000.00","25,872.24","23,761.27"
HCP INC 4.0% DUE 06-01-2025 RE,4.00,06/01/25,"170,000.00","177,932.10","169,503.19"
HEALTH CARE SVC CORP 1.5% 06-0,1.50,06/01/25,"300,000.00","300,117.20","277,472.83"
HEWLETT PACKARD ENTERPRISE CO ,2.25,04/01/23,"145,000.00","144,969.55","143,954.36"
HONDA MOTOR CO 2.271% 03-10-20,2.27,03/10/25,"630,000.00","630,000.00","606,011.77"
HP INC 4.75% DUE 01-15-2028/06,4.75,01/15/28,"60,000.00","59,904.60","59,287.88"
HSBC HLDGS PLC .732% DUE,0.73,08/17/24,"310,000.00","310,000.00","297,197.02"
HSBC HLDGS PLC 2.099% DUE,2.10,06/04/26,"200,000.00","200,000.00","184,732.32"
HSBC HLDGS PLC 2.251% DUE,2.25,11/22/27,"300,000.00","300,000.00","267,289.99"
HSBC HLDGS PLC 2.633% DUE,2.63,11/07/25,"300,000.00","314,232.00","286,057.84"
HSBC HLDGS PLC 4.18% DUE 12-09,4.18,12/09/25,"200,000.00","200,000.00","196,822.33"
HUNTINGTON BANCSHARES INC 2.62,2.63,08/06/24,"60,000.00","61,862.40","58,263.36"
HUNTINGTON NATL BK MD 4.008% D,4.01,05/16/25,"250,000.00","250,000.00","249,702.02"
INGERSOLL-RAND LUXEMBOURG FIN ,3.50,03/21/26,"265,000.00","261,115.10","257,606.74"
INGERSOLL-RAND LUXEMBOURG FIN ,3.55,11/01/24,"110,000.00","119,054.10","108,364.81"
INTERNATIONAL BUSINESS MACHS C,2.20,02/09/27,"270,000.00","269,919.50","249,950.97"
INTERNATIONAL BUSINESS MACHS C,2.88,11/09/22,"100,000.00","98,213.00","100,127.16"
INTERSTATE PWR & LT CO 3.25% D,3.25,12/01/24,"130,000.00","140,285.60","128,386.60"
JPMORGAN CHASE & CO .768% DUE,0.77,08/09/25,"160,000.00","160,000.00","148,394.90"
JPMORGAN CHASE & CO .824% 06-0,0.82,06/01/25,"310,000.00","310,000.00","289,695.87"
JPMORGAN CHASE & CO .969% DUE,0.97,06/23/25,"440,000.00","441,262.70","411,311.53"
JPMORGAN CHASE & CO 1.514% DUE,1.51,06/01/24,"500,000.00","500,000.00","487,403.56"
JPMORGAN CHASE & CO 1.561% DUE,1.56,12/10/25,"260,000.00","260,000.00","242,899.12"
JPMORGAN CHASE & CO 3.22% DUE,3.22,03/01/25,"330,000.00","351,184.20","324,062.64"
JPMORGAN CHASE & CO 4.023% DUE,4.02,12/05/24,"140,000.00","154,523.60","139,520.04"
JPMORGAN CHASE & CO 4.08% 04-2,4.08,04/26/26,"310,000.00","310,000.00","306,133.33"
JPMORGAN CHASE & CO NT FIXED T,4.32,04/26/28,"270,000.00","270,000.00","265,552.03"
KANSAS CITY POWER & LT 3.65% D,3.65,08/15/25,"150,000.00","167,010.00","148,402.81"
KEYCORP MEDIUM TERM SR NTS BOO,4.15,10/29/25,"70,000.00","70,340.20","69,834.65"
KEYCORP MEDIUM TERM SR NTS BOO,3.88,05/23/25,"170,000.00","170,000.00","168,741.47"
KIMCO RLTY CORP 2.7% DUE,2.70,03/01/24,"30,000.00","30,211.80","29,297.38"
KIMCO RLTY CORP 3.3% DUE,3.30,02/01/25,"160,000.00","163,764.80","156,533.14"
KLA CORP 4.65% DUE 11-01-2024/,4.65,11/01/24,"210,000.00","231,892.20","212,998.31"
LACLEDE GAS CO 3.4% DUEá,3.40,08/15/23,"430,000.00","436,235.00","427,725.55"
LELAND STANFORD JR UNIV CALIF ,6.88,02/01/24,"180,000.00","213,697.80","190,063.65"
LENNOX INTL INC 1.35% DUE,1.35,08/01/25,"220,000.00","222,613.60","201,548.80"
LOWES COS INC 3.35%,3.35,04/01/27,"90,000.00","90,141.00","86,609.52"
LOWES COS INC 4.0% DUE,4.00,04/15/25,"190,000.00","209,412.30","190,627.49"
LULWA LTD 1.888% DUE 02-15-202,1.89,02/15/25,"475,129.63","486,033.85","465,302.44"
M & T BK CORP SR NT FLTG DUE ,1.89,07/26/23,"110,000.00","110,000.00","110,104.53"
MAGELLAN MIDSTREAM PARTNERS LP,5.00,03/01/26,"110,000.00","119,104.70","112,456.84"
MARATHON PETE CORP 4.7% DUE 05,4.70,05/01/25,"110,000.00","121,536.80","111,287.93"
MARSH & MCLENNAN COS INC 3.875,3.88,03/15/24,"90,000.00","89,950.50","90,195.69"
MARTIN MARIETTA MATLS INC .65%,0.65,07/15/23,"140,000.00","139,983.20","135,290.21"
MARTIN MARIETTA MATLS INC 4.25,4.25,07/02/24,"80,000.00","88,333.60","80,386.04"
MASSMUTUAL GLOBAL FDG II MEDIU,2.80,03/21/25,"440,000.00","439,824.00","427,666.75"
MCCORMICK & CO INC 2.7% DUE,2.70,08/15/22,"475,000.00","473,692.20","474,982.16"
MCCORMICK & CO INC 3.15% 08-15,3.15,08/15/24,"220,000.00","215,969.60","215,601.04"
MID-AMERICA APTS LP 1.1% 09-15,1.10,09/15/26,"120,000.00","111,976.80","105,364.74"
MITSUBISHI UFJ FINL GROUP INC ,0.85,09/15/24,"200,000.00","200,000.00","192,541.35"
MITSUBISHI UFJ FINL GROUP INC ,0.95,07/19/25,"490,000.00","490,000.00","457,232.80"
MITSUBISHI UFJ FINL GROUP INC ,1.41,07/17/25,"200,000.00","200,000.00","183,630.29"
MONDELEZ INTL HLDGS NETH B V 2,2.13,09/19/22,"200,000.00","199,948.00","199,548.48"
MORGAN STANLEY .791% DUE,0.79,01/22/25,"280,000.00","280,000.00","264,677.02"
MORGAN STANLEY 1.164% 10-21-20,1.16,10/21/25,"130,000.00","130,000.00","120,441.30"
MORGAN STANLEY 2.475% DUE,2.48,01/21/28,"150,000.00","150,000.00","136,356.28"
MORGAN STANLEY 3.875% DUE 04-2,3.88,04/29/24,"400,000.00","444,824.00","400,509.50"
MORGAN STANLEY 4.0% DUE 07-23-,4.00,07/23/25,"245,000.00","256,556.65","244,793.40"
